BGDFAEDA CGFGFACF
EABDCBEC DBCCDADE
DBGAGDCF GBGGGGDB
BFCDFGAB CCAEGCFF
CCGEEDDB BCEBDFAC
CCBEECBG EFGEFBCC
GCABDCBF DAGCGEEC
DBDDGGGA AEAFGFCC
EEBFBEEF DFCFAGGC
GCACFAFC BBGBBDGA
DACABEDF FEFDCFGD
GCCBFBAC AGBCDFFG
DDCFEGCF EBACCGGF
BCDBACEB AFACFFCE
CADGCCCF FDBGBCAA
EBCBGBGB FEBCCAGG
EBFBGFBA DEGBFFAB
FEDEDABD GBEAEGAD
ACDFAFGD ADFGDCAA
ECFAAGCC GGCAAGCC
FAEDCACB ABCEEGEG
CEGGDEFB ABFDGBCD
EBBGGBGD FEDEDBAE
EBCGECDD GDEFGBEA
DDCFDDBD DCGGBBFA
ADECGDEE GFBDFEBC
AGGCGEEB ABBFGCEE
GBCEFAED ADAFCBBG
BBDGFGEF DDEBCFFC
GDDFAADF GGFFDEGG
FBFBBEBG FEAGBEEC
AFGAAABA ABDCFDCC
DDCDEGDG EFDBGEGD
CFBEDAEG CAABGGGB
GGGCDDGC FGDDCCEA
BBCBAGEE FEGBCFAD
DADGDBCC EFEBCDCF
CEEFFBDG GBDAFFGD
EDAEBGBE CFEGABEG
GFGCGCFF EDEECDFB
FECBEFBC ADECBEAB
DBEFEBCB GEFBCDCB
EBDBFFAG ACECDECG
BAGEEFCD EBGGCBEB
AFGBFCGD FBDCFBBE
AABBABCD BEFDAFFE
EFDEGCGA DFDGEBAF
CABGBADE EECDFBCE
BCGBBFFC GDBCAADA
ABCFCEBF GFCEEBDE
DECGBFBD EDGBAFCA
FBEAAFAG FGDACDEC
BBAFCFFD FGBBCBFD
CFCBCBEG GCGBFADF
AAFEDDEA BFABBDDD
ABFDBAED EDFCFACF
GCFDGCFD FAFACGDE
FBFFCEDA FEGAEDCE
DEABEBGB EGBGEECG
ECAEFCAD EGBGBCDC
DEFBFGAG FDAFDFDF
DDGBEACA CDCDBCGD
DFCAABFB FCACAAEB
CEEFCEDF BEBGCFFF
EDCCAAFB FACAABGA
GDAGAEFE DCCBCFEB
BDADECCA FDEFBBEE
EGDFFCAA DCFGACDD
EBDDAGBG EAFDAAAA
FCDEBBDF FBEGDGBG
AGCDBFBE AAABDEEB
CGBDCGGB AABFGGCC
CDGADGCC DBFEFBGB
EBCCGDAB CFGGEEEE
EFEGGGFC AECGFDAC
CAAFBFDD DBACBGGD
FCGFGFCA CEAFACDC
AFBCEDDE EFDGCAFE
ECBFEGFF DGBABGAA
CFCFFBFF AACDCDCC
GDCCAEAD EDDBCCED
DEBEFGFA EGFBAGGB
CCCFFCBB FBDDFEDE
GGBEFAGE CBDACEEC
GEBEEBAF FADDEFFE
CGFECDFG CCCCEBAF
ADCGCEEG ACDCBCGD
CEGFDACC EACFDEGC
CGABFGBB ABCFCEED
FEEGEBBA BFGABBBG
DDADDCGE EBDAECAA
GDDECCGB DACGCGAD
DAEDEDEB ADAFCFED
EBFBDAGE FADAAGCD
BDDCDCEB GCCAEFEB
FEAGAGAA GCDAADBB
DGEBEBBC EBBFGABA
DAAFGAFE GEDCEDGD
GCDBFBFD EADBABFE
FDCBFCDG BEGBCGDF
GAAAAGGF BGBCCAEF
BBGGCAAA BBBADFFC
EGFAFBAC GADEEAAC
EEBBEFFC FFGGAEAG
DGCACEDB EBAGBBFD
GDDDDBAC ADFAGDEB
EACFDFBG GEDCCDCG
BGEEFDDF EAGADEDA
ACFECEFA AGBBFBBD
GFGBBFEG EBFFAFGF
EFFCGGFB ABCGBADA
DAGEBBDF FBFBEGEE
DDDFEDGF AAFBEGFG
EEEFBADB BCGCDDGD
DBGDDFAG CEEACGDG
FCBEFFEF AAEBAEDF
DDCABBFD FDCFEGAE
EBEACGAA CFACEGDE
FFFABGCC GEBFAGDF
FAGDGBDB ABBDAACA
CBGEFGFG EEBGFFFA
GFCGFGEF CAFDCBFG
GDAFAEFE CEDFEADA
CAEADBBB DEDBDDFG
CDAGEACB FDFDACGD
DEABCEFE FBCDGFGF
ABDACFBA DACGBDDE
DBCAEEAB BECBGEAE
CACFFAEA ABFEBCDD
FEFDDCEF AABCDABE
GADGFCBC DABADGBE
ACBDDAFE DGEGGFEA
DBGDBCBE FECGFGDD
FAEBDGDA DBADEDDB
EBCGBCBF GGAECBCA
GFBEFCFE CCAAGEDF
BCFFACCD EGGBGGEF
