FDBGDCCGBF CBFACBECDA
ADEEGFGEEB EDEEAFBDED
AFBCDGEEGF DAFFFFAEEF
AEBEEEFDBD GDGFABBGBF
EBGFBGDEFA BADFDBEAAD
GDECCDGFCD EDCEABADDA
EBGABCFGAC BAGGCGDGAA
GFCFGDCGDG EEFCGDCGFE
DGBFDDAAAC ADBEEEFGEC
FEFEEEDBAA ADFDFEADAF
GDDEEADAFE DEFDGGFDDG
CGECBABAFA AEFBADBCBG
FFDFADADGD GFFFFCEEGC
FDCAFADGCD EBBFECDBDE
ADAAFEDGGD AAGFCFDBCF
ECFBADAEGC EFFCEACCBA
EEFACCBABD GFCBBGBAGC
GBCCFCCEGC DEDAAADADC
FGAGAFCDEG AAFGEAABAB
FFCAECGBCG GGBDCEEGEF
ACBBFEDGGC FFCDBCAAAB
CFGDEEDCFB BCBEEBCEEG
GDFBAABABD BAEBBCEGAB
AAAEEDECFF EGAEEAEDEB
EBAEDBDCEA BGABFAAACD
BEEGDFFAAD GFEGDBGABA
DFCBEADCBC DEFFACGCBF
DGFDBCDEAE BACEGCDGAE
AFGDBBAADA BBDEBDFCDE
FCDDBBADFD GFCCFGEFEE
BDGFCDFEBF DFACEEDAFF
BCABFGDAAF GADFFAGGAA
DGDECGCGCB EACCGEGCCD
AGBAEFAAFB ECBBGGACAA
BEBGGGADCD GDEDEDFBCA
BGACEAADGG EDDDEEBGFB
ADEBBFGAGB FFCGFBACFC
FBEFGBFFAE GGBBFABFGF
BBBADFDCFD DBGBEAEGGB
AACGBEGFGA FGEBFEADBE
BCECBDEAFA EFAAGEGGEG
ACBAEFFECB EBGFBBCBEC
GDCABCGEFG DEECFEDBBB
CGEDGCECFC EEFEAFBFCG
BGGAADDADE ABBCCEDAGD
ECBCBAFGGA GAFDEBCGED
GAAFECGCBB EFDFGABGGE
EDFACDFCFB AGADBEAGAB
GCABDEFCCE GCDEAFCDGD
BAGCCEABBG CFFGEGBDCB
GABEGEDAAF DFDGDFGECE
GGBCGBABAC BFDDEBAGBB
GDEFBEFBAA DEGEDDEADA
EEBAFBGECE BCECEBFCFA
FEBEEGGCBA FABFEADEAB
CGACGDGCAC FAEAEEDEBF
ACEFAFAAFC GDBBGGDEGB
AEFFFEBEGB CEFEAGECEC
CDEDBFDECG GBACACBCCF
DGGAFGGGFB EBACCDDCDG
ACDACEAGFC EGGFBCAFAE
CEFCEBEFFB GFCCGGEGED
CDFBCEDAAE FBEEDBEGFG
GDGEFGDBAA FBBFAFFGCC
BAGACGGFBC EBDBDEEGAA
DFFFAEDGGB FBACABDEBC
GADGEDACGG DGAEBEBBEC
AFFEFDCEEG CBCAABBCDC
DFADEGEGEE CBGEEEBEAF
DEAGGDEACF CBAAAAFDAB
DFGDACCFBF CEAFBBBDCF
FBAFECACDD BBDCEEGGFA
ADEFDBAEBA FBBFDEECBD
FGEAAAGGBC CBAGFBCCAB
DBAGABBDAA ECDCCDCFFE
GCGAFDDGGF BFEDGGBGBB
AADFCBECCF BDBEBDCDCE
BFCDGAGEAC DGEDCGEBFB
BABCFGGEFC CFEEAECDGF
CEBDGDGDGD FBFACCFAAA
CCFDGEBAFB BGEBEDDCCF
GECEAFCDFE BAFFDCBBAA
FDCBEGEBAG GEDDDFGDEC
AADAAEEEFC GFEDCGACFE
DBCAAFDGEG FFBDGBDEGD
DDGCDGCGDE DEBBDDAEDE
DBDBBDFDED AGCGEAGDAG
DCBDDFBAED DDGFGCAADE
DAFBEGCBGE GEEDCDBAAB
ADGFFEEDDF GBDCFADAED
CBDGCCADCC GBDFEEGBBA
GADCFBBCFD ACFBGCAEEG
GBEAEGCFBE EBFFDFABAG
BBFFCAFFCG EEFFGEGFFF
AGCEBAGCEB GCGCCGDFCG
GFFDBEDGCB FEDCDAAEGA
CEDGDFGGCG FECGEEBBDB
AFCDEEFGFE FGFAAFCFBG
FEDFDCEDBB EDACBFAFDA
ABEECECAAF FDABGABGBB
BDCBFFBGBF EAAGDFGEEA
GCFFABFCGD EBAGECFECA
FCCEAGFFDE BEBCCGGFAB
AGADEDDDDB AEEADEGCFF
DGGGEFCDDE BFGBECBABC
FDFGFEGCGG EEEAFEDGBF
EDGFFBBFBD CEDFCCBDEE
CCCFGECDCA GGEECBBDDB
DFBGFGAADF CCCBBFGDEC
ADBCAGDGEB EDABAEADBG
CGABCDBFGD BGCADBAADC
GFFACFBACE ADFAEADECA
EBCGBADCBG GDEECBFCGA
DCFFDBDCBF GFAFGGCCGD
EAEFBECBCE DGEDGEGDAG
GGCGADADBB FFGGCCBCAB
CAGDADDFEF GDGCGAGCGD
BEDAACCBFC GCBGECCBCB
CEGAGBGADF AFDCBFFACB
ECGEAEDFFE CGEGBEFDEA
BAFBEDAEDF EDBBFBBAGE
CECDCGBAGE DADGDCCDEF
CABBGDBBAG ECBFGDCBFF
BCCGADBCFC CEDFFECCFC
GBAFCECCBA DGADBGBDAE
GCEDGDGGAA EFBECBCBBB
DGFCECGFEC GBGDEACEBE
FGCAGEAGDG DEEBAFGCGB
FDABGBCCFB BGAEBACDGG
EAAECAABBD FGCFBEGABA
AEGEABFFFC BGGFEEAEGB
CFBCGFCAAD DDBGGBGFFF
DDGFBBAECE FGFAGGECEA
CAAAEDFEEA DDCEFFAGDA
AACGGDCGDA DBGCEGFGDC
AFEBECDBBE EGEBCFDEFE
FCGGEEBDCB GEFCCFGGEF
DEGGBAEFDG FBGCGCDDCE
CCADFACCEA CGDBCDFABA
ABEGBBBDDG GFGAACCCBA
CBDBAGGCDB BEABCDAGCG
FAEBFGACAF DDDAEBAGDB
GECCAEGGAB CCACFGBFFD
GFBDDFGDDG FGCACGDFGB
FFCBFGAAAG BGDEAAAEGD
BDBEGCEEGG GAGADDBCBB
DDFFGBGEDF GABGEEEDCG
ECACEAAGCE EEECGACFGA
GEAEBADADD BEEBFGAADE
CEFFEDDEAG FAECCECFBB
FCEFDAGDEE BDBBBFBACG
AADCCEECCG GCGFDAFCCE
CFCCCBFGCC DCEDACEABE
DCCEDEAAFE ADAABFDEGB
ABDCBEGAGA GAEFFBBDED
CFDAEACABD GDFGEBCBFB
DBDFGEAFGA FFCCFBDDBF
GGAADBAEAE BDBFGGDBFF
DEFCGBGACG CGGCBBDCGA
ECFCBBCBEF CBGCFBDABB
FFABBAGECB ADCFEFCFFF
BDFGBEGFEF AEDAEFCDEF
GGDCEEFEAF DGADFACEFF
EBFEAFADCB GFEFGBGBBB
CACDCEEFBE FDFACBFBGE
ADCDEGAGGE GFEFBFGCCE
FFCAEFDEFE FDEEEBGADE
EACGCFCAGG BGGGGFFEEG
DBAGGBGECE GAGAEDBAAB
CEDCBDBGEE CBBCCEAAGE
CGCFBAAABE BABGBGEAGA
EEDFCFCFEA CECEGAFBFE
BGAEFCEEFD CDFFDCEECE
EAECFGDCCD CCCBDBFABG
CCEECAAEEB DECFGBECAD
FCCCCCAGDG GBGGBECABF
CAGDGDGBEE BGGFCFGBBD
FBGGCBEDCG FFGDEBBDGD
FFEDBBBFBD EAFBCDACAG
BDAAFBCGEA ECDACFEADF
ECDABAFEAA ACAEDCEEFG
DBDDDBGGBC DBCADEFBBD
DCFBAFDGEG GADBGFACCA
CAGFGEFBBE DGABFCECAE
ADBCGGDDDB EEFDBFBCEG
FBBEGFADGD AFADFEGAAA
BABFDCACEC BADEBEABAE
AFDGAGEFDF EFBBGBFADC
GGAEEAEFBB CCAFDFEBCB
DGFBEGFAAA FGEDGEBFDF
GACEAGDCFF CEBAAECEDE
BFBAFFDACF GBEAFDFFGA
BFDAGDFAFC DDDAACDBGE
DECFEBDAGA DBCCGBBDGF
AAGEFBBEBE EFFCEDABED
CAGDFAGADF FACBEBEFEF
FGEFABACEA EFAACFCFCF
EBCABAADFE ACFGFAFBBB
ACEBECEEBA AACCCDCBDE
ADDEBAFABA BAAEBEDGDG
DGACCAADCB BBFECDFDCA
GBCADGFGCB BDCEEACACA
DEECEEGBGB EAGEGBBEAC
FAEFDFBCGG EFABCBEBAG
ADEFDBFFGA EGGCAEADBG
DEBCFACGCE GECDGGEFDE
BBFFCCCBEA CBDBCFDDBD
CCGCBEDDFB DFEEDBGEAA
ACAEECBCAA GDFDFCGDFC
FCFDGGGABD CEDGGGDBAF
CEFDACFEGG EGGGGBFDEB
GFCEBFCGDC GDAACDACBD
BEFDEAFEEE FEAGFADGBB
FAFDFDBCFD GGAFAAEDGF
ECFGDCEABE EFCCGGEBDE
GABFGBGDGF AGFADEGFAE
EFFCCACAGD CBDGBFCEBD
ADEBGBCGCE BDAFADFAFB
DEBEDFGGAD ECBCGGGEGC
AAEDEFEFED AFGDDCDEAD
GCGFFGDAFC ECAFCDGCAD
FBDGBDACGD EDCDADGDAE
GCGFEDDBCG CDDCDFCFAF
EBEBDGEFDC EDDAFBBGAC
BBEFABCBEE ACFDFFAAEG
GDDADEECDB DGGCDFEGAD
CCDACGBEDD FGFEBFCGAG
DDBAAAGEBF EAADCDCAEE
AGEEBAGEED GFDGFDDCAC
DFFEFEDAAC FACFBFDDBA
FCACFEDGCC ADABCFBCDF
DFBAEEFGBA GBBGFDGAAC
BDFEFGFFGD BCACEFCFCF
EGFGFCCGDB CEDBAAEAAA
GFACCFECGF BEGGAFAFEA
ACDCDAFEBG GFBGFCEGDE
DAABABGAFA ECEBGABFBC
ABBBDBDBFG BEGEFFDECE
FAGEECBCBC ECFDFEFFEC
FGFDBCCBDE FEBCAFACDE
CFBDCEAABA GBBDFEFCEA
GBGDADEFDD AFCDBDGFDD
AFEGDBBGGF FFDFEEBFFD
FDEEEAGBBD CDDCBBCEFB
FADAEAFEEE CECEDCAFEC
AFADBGEAEE AGEAGEFGBD
DDDFACCCGE ABFEAGAGDG
BEAAGECADB DAAEDFFCAC
CEGCAEAGAF GAACFFFDAG
CFGCBDFCDF EEFDBBDEFE
CGFGGDFBAE BBAAADAFEG
BABCBEEBGB ABBFFEGEAB
DADAABCFCD EDCAFEBCAG
DDGGGAFDCA EGBBBGDAFA
DFAGEAACEC EGEDDAGAFA
BGCFCDCFBA GFAEFEEDAE
CEBGGFAGEF FFEFGAAACG
EACFBCEDCB DAFEBCGBGB
GAFCDBADFC BBBADEADEF
GCBCFEGEBC CAECAGEDBB
BEBFADDGGF DDCCGDGDBE
EAECCGAGDE FEFGECGDDE
DGBCEDEAGD BGAFDEGFEG
CEEGEGFDFF AFGCAFBBBG
CCEECCDDEE GGDBEGDCCA
BAECBBEGEF FFGAGCACDA
AEFFCEBCFG EFADFDCBFG
EBCDCDFFDA BBFDCAEGAA
FGDGGBGGFA BABGDFGEEG
CFBDFACADD CBEECDFFDE
AGECEECCFE GFGFGDAGGE
DFDBDECAGE DBBEDCDCDA
GDAFAAAECB ECCFBEFFEB
EEGADEDEBB ECAFFEABDF
CGFFFDBGAF BECCGDDDAA
AFCEABFEED CAFGDEDDGG
ACFDEEFGDE EDEBEFGCBC
FDCFBECGEC CDFFFGDBDA
ECAFAEGAEG BECAFCAFDG
AGBGCACFAC ECDDACCFBD
CFFFCFGDDA ABCFCEDEBC
CAADBCCAGC DDGFGDCDDB
EGFFFFFAEA CAABDFFGAA
ADCEDCFFFF BBDEFEAGCG
FBFAGEADDD AGEADEGBCE
GFDCGGGEAE GAFEBBCACC
AFBDEDDEBD FADFCBCFDA
DBAGAAFBCF EDGEBCECBA
DFGBCCBBCF FDAFFEGEBE
BDBBCCGFCE BCFEFBGBFB
CCFCCEABBB GCFGDDGCBF
EFEAAFEGEE BGEEEEEEFE
GDEEFADABF AEEABAEBCF
CACBDCGAEG BGCGCECEEE
