CAEFGFAG BGCFDEFG
DEEDCADF FDBCGECC
AECECDGC GFAAFFAA
DFFFEGED BFEEDAFE
BCDBDEGD GADBFAEB
ABDECAEA CBBFADDC
EAABGBAC ACBFEGFD
CFEFBEDE FGFEBDFA
CBEEDFFD AAEEGECA
CDAFCFGA GEAACGDF
BGCCACFC EECCBAEF
EACFABDD DDAEBGFA
FADECGEB FFAEGDGC
FDDEDACD FBDGFGAA
DCDBAGED CBGADEDB
DBFGBCEE AFFEACGD
BFAAFCCB BABAEDAC
FCBFCGCD FFACCABA
FACGDBAD FGFEAEEB
BGBEEBBD EDCEDEFB
ECGFGFGA BGEBBDDD
CEGCBEGC DDADCEDB
AFDGDEBA GFABAAEA
FECBABGE DAAADBEE
BDECDDCD EECGEBDB
ABDCAGCG FBGEFDCF
GGDBDCCF CGBCGFEG
AEDADBDF DBCGDDAC
BGAGDDDC BDAAEDAF
ACAECBDC GFGBFADG
CECGDDED BBGAEBBF
FEGBGDEC DFACBCFB
EEFDBBEF ACBDDDDF
EFAGEBEB CEDBCGBE
AGCCBFEB DBGBCECB
CDCDFAAD DBDGEEFG
GCFFGGBB CACEFABG
ABEEFFEF DDFFFAEA
GCAADEBD CGGCAFBA
DFDEDGCA GCAEBCFD
ECCDEEDF DEFBFBEF
ABEGCEAF ECEEBBAE
EGGGBBDD CFEBADCA
FBBCACDA GCGGCDCA
DDGFFDBA GDBDGECD
FGEAEAAA GFEFDGCB
EFEAACGD FFEFACGF
ACFBCDFD CGFGDECD
ECGCGABF EGEDEFGA
DCFADFAD CAAFFGAE
GAGGGBAF ACBECEEG
DDGGFDFD CGEEAFAC
AEEDAEDA CBCEGGBG
CEBBEABC CADECBFF
ABGBCEEG GBFFGBEA
FDEFCFCB AGBCDFFA
GAADFBCA FEBAGEFE
FECEFGFB FDGEBDGA
FFDFBCED AEGDFEFG
BBCAGAGE CBADCDFD
BADGBBBC EACBBCAD
BEDDDDDG EBBFBCCG
FAACFCAD GGGFEGFC
DGEBBCEF EEAFGFFC
DECEEFGG ACFBDGFF
FAGGECCF EEABFBAC
GEEEFEDG AEEFFAGA
DECAEFFC ADFGECDB
EGCFCEEG EFAEGDAE
ACCCFGFE GCCEDFBA
BEGEBCGB EEFDAAAA
EFAGAACF EBACCEAD
BDDCBBCC ADAFCACG
GBECACAF GGCCDCGB
FEDACFFE DFBEBBGG
DEFBBGDG CCDAADGC
GFFCGFFD FGCGEAEE
ADDBBDAF DDBCACFD
ACBBBCED ADCFACGF
BGAGBDAA EBCCFFFD
CEFCCEDB FEDFBBEF
FEDCBBGD AFAEECCB
EEBGCEFG DDBDCCGB
BFGBADCD DCGEEFDD
CCDFEDEB EFEDGBDA
BEFBCFDB DBCDAEDB
FGFBADCA DGCFBCFE
GFEECBBD CBGCBAAC
EFBAFGFG DEBGBAED
AAGCBFEE EDEDFCCB
GCBCCEDA GEDADABB
BAFFGADG AFECDGCD
BEABBDFC FECCFFFC
GGFABEFA AFBFBDGE
DGGDEBDF ECFFEFGC
BDFGDEGE FBFCDBCD
EFBDAEEA DGEDFDAA
FFEAEFGC EFDFGBBA
DEFAEFBC AEFAGDBD
CBAABDDG DDFEBDAE
DDBBGDDF GCFFBECB
DFCBFBEG EAFADBBF
AGCBAAEE EEFCFGAG
BBCCDCDD DDAGGABD
ACBGEBGF CBABEECC
FCBBEBGE CCBCCDDD
CDAACDEC CACDFAAF
ACGADADA GADEFBAF
CDGGBFAD CDGAGDDA
GGFCEFDD CFCEGFAD
BAFGBFCG ABBDBFGD
EECFCGDB BABFBDEF
AEGAACBF BEFFCDEE
BGGEDBCA BCCAABGA
DFDADEGE EBDBEABD
EAABDEBB DBEGEABC
ACGGEDGE CDEDECCC
FGBFGEGD AADBACFE
FBAEDBDF FAFFDDAE
AFGBDDCE BCABCADG
BDDAEFDG CFBFAACE
CDEEAEBD DAACCBCG
DDBEAFBB GEBAFDBD
DCBDEDGB GCCFGGCC
CAEDGGBE BEFFGGFB
GBEACAED GBBGDECB
DAAACAEG EDEAFEEC
GCDCGBAC EAGACFCF
GEEAFFFG EABDCGGE
EGCABAEF BCGBEBGD
BFDDGAAG GGEABGFB
AEBGFDEA FGCCEEFG
BBABEDFB DADBGGED
DEECGFFC DCFGCGGA
ABAGCECA GCCCFABD
