GFGDBABBGE AEDBBFCBCF
FBEFACGGCE EFBDEGCBFG
EEAGBEEFGC BFDDCCBGEF
DDGCGDCECB DEDDEEBEBA
GADDCEECDG BEGCGGBCCG
CACBAEGCBD DBFEFGDFEA
BAGFABACFD BGBEBGFCBE
GGEBDCFDDE EFAADBEBBA
FBCEAEEGDB FCDAGDCFCA
EEDEBGDDDG AGAFGGEBGD
AACCAFFECC GAADFFEAEE
GFACGCEACE FEFCCFAEEE
CEBCDEEFDG GABEDBDCBC
EFFEDBFGCF BAFFEADCAF
ABBGAFABCE BECGGFGGGF
AGEEEFADEC EDCAFFGAGD
GCAGFEDFAD AGEDDCGBDF
AACFFFFCGG AAACDBGEBF
BGCCFCFEGD CACFCCBCCD
FAGFABCBBB DEBADFAAGD
GACFBDCAAF FAGCGDEGCC
GEFDCAAGEG DDDCDBAAAF
CEAEGGEBCG DDFFDACCAG
BGACFFDEEA CAGDFACGAB
ADDDFAACDB DBEABDDFED
BBCCGBAFDA DEFBEDEFDA
EFEACBBEDD ABEGGFFAAA
EAGGDFCGCF BFGFDFBCGE
CDBAAABGGG EGGAGEAFBA
GBBDAEACFA CGDCGECGFB
EAGBAEEBBD AAAEEDCEAE
DFAFAFGFGA DFDFCDDAFD
DCBFFABDAD CBFEACADBE
DCEEDCGDFB GFBEGGFCGE
GFBAGBACAA CBAEFAGDFF
AABDFFGFEE FCAECCDGBC
EGCACCGFDD DEAFDDDADD
EDFGAEBGEB AFEDGCBFGE
DDBFDCCDBC CECCGGDFGD
DBDGDEBEEG AABCGBDGFA
CECGBCFBBB FCDEBABDAG
BEGBFAGAEG ABGCEFBBDC
DEBGFACBFA DBBFFFCADF
DDEAADCFAE DCFACBDFCG
FDADECECGC AACGABEAAE
ACADGAAAEA BCEDEFBBAE
FCGCEFCGEF GECCDECCEF
GDGBGBBCCG GBEDBFDCFA
DDFGEBDCFD AFBCDFGDGE
DEEEFBCFDE EECEGBEADE
GDCBFGCBCG EGABDAAGDG
ADBBEGDCFB BEGGAABGEC
BBEBACBEGG GDDFBGDFBG
FBGFABGECF GFGADGEEBF
AAAGCEDFEF DCEFGFDEAD
FDGGFADCCE CGCGAFBFDB
CEBAEDCEGG CAABFABEDC
CGGECAEBBG GDGFGFBAFA
ACFEGBFBCF GDCAACAFBC
AGFFEACGFG EBGCGGFGGC
CFCFFDDADA ADCFBCFAEA
GAAFADADBD EFAFDCBDEE
CABBACAFDG FAGFGFABBG
GCCGEGAGEB CCBADECAGB
CBFAFBGDFA DFBACGFFGD
CAGFCAFBDE ADGDDCABFA
GDEEDGCCEA GCBFGCCGCE
BBBDBGFFEB GDEGFGBAGF
EECEFFDEFC GBAECECADG
AADBACGFBA ECECGBBDBF
BAGFAGGFBF DFGDCCABDG
CFADCBEDBE ECFGCDBDEG
GABCFCGCFE GFBGGAFCFA
CECFADDGEG BFEADGCEEA
CGFABGAFDC BDCEGGACFC
AGECDCGACC BGBCEDFDGA
CEGGAGEDEB EBDECDGBFD
CFEEFEGGGB CFGGBFCBFB
FBECECCBFC DEGCEGBGGF
FBFEBFABDC ADCCFBFBBD
CBGFEBDABB FDGDEEGEEC
DCCGDGAADD FCDDDDCGDG
CDCFDEDBGG GBEEBAEECE
FEEGDBAGGG AFBCCGBEAB
FDEBECFAFB CGEADGCGAC
BECFDBGACA FEBFFDFECF
EAGDACEEBD BDGBEADFFE
AFBGCBADCF FAAGFBFFFF
FFAEGEDAGF EBAFEGDGBC
EADGDDFAAF GEABCECCBE
FDCEAADAFF FFGFFGAEAC
EEBBCEFEEB CFCCCBCFFB
AGGAEFCGCA BDFDBCGEEB
FAFEDEGBCE DGCBDCFCAF
CDBFBBEAED GFDGCEEFAF
FBFFGACAFC GDGBFEDEAF
ECEACBGAFC GDDDGEEDAF
DDDEFDBCEA FCBFECGDBB
AGAGBDBGEB CEABGGACFB
FAEFBGEDDG FBDCEBBEFA
EABFAGDEFF DBEGEGCDBE
ECGFBDDFFF DCCDEEGFBB
GDEBGFFEDD EGDBBCCACE
AACEBCEBBD DGACDEBFBA
GDGFGFABEE GCDECGAFFF
BDGGBABGCC DBFFEEAAEC
BFCCDGGGCG CEDBGAAEDF
CGGEGGCEFD ECFGEBEAGE
ECGFDDCCAF CCFFBFFBCE
GGGDGDEBDG BCAADEBFFE
GDCCGAABFB DFCABEBGGE
AACEEGAADC EFGFBDGBCF
AEBABGCCAF FGGGEAGBGG
DABDDAFGEF GEABFCCBDD
GGECCBAFBA DFGBFADCEG
EDDBCDBFCG FEDBBDFCGC
CBCCEGCFEA CEEFDBCCCG
DDFBCBEEGG EGFFDGBCAB
DGDGCDAFEB CECAACEECA
ADBGGGGFAE FAGAGDBDAA
DACGDFFGDA CEAGFADDGC
FFAFCECAFC FBAEFDEFAF
FFAFCFCABC ABABFGBCEF
CBDEDBCDBG FFECCFGEBF
AFAFABFCGG GACDBBEBDF
ABDFGFAGCF BCCDADEABE
ABBDECEDCB FCFEBDBGDC
ABADFGCCAD AGDEDGBCGD
BCABGDEBBC CEBGCAEABA
ACCGDGADCE FBBEGADBEG
CADACDDCFB GGEAABADAC
DDDFCDEBAC BGBAEFBBEB
BAEBFEGFCB GGDFDCEFEA
EBDADGDBDE EFBDCDACFG
DBFDCAEEAF CFFBCGBCBC
EABDAEADFC AAGAAEECGD
BEEBGACDEB DDEGEADEDC
ECEAGGAACC DBCCBABEAG
FCCAGEGCAG EDCGEGFEGE
GGEAACDEAD DACEGGAEEE
AEAGBAFECG CECCCAFBDB
AEGDEACFCA CCGCCFEFGF
DADBCEDFAC FCFCGGCDCG
ECDCGDAACG EFBFFGAADG
BCCDEAGFFF DADGGBAAEC
CFFFBDAEDG GDFFDACCEA
DDBFAEBBFA BBGAECABCG
DBAAGAABFF CAEBGGFDFG
GAFGEADCCG GBDDCGCFFA
CCFBDAAGFA BCEEDEGEDA
FCGBCEBFBA BFCCAFAGAA
DBCDGEBFGG GEACGCGFDD
AFAEABECBG AFEBFGABGE
CCECGBGDGC AFBGCBECFC
EEDACDBAFD DEDAFBDGDB
GDBFDDDAFG CBDAACEACD
FGFBDBGAGG CBGEEEFEFG
BBDCBAGGFC CDCCCGCEDB
DCDAABEEEG BACFEFACBF
CGDEGGEFAG GCEEBBDBBC
AAGACBGDCF EBDBAEGFEA
GCBCGFBADC FEDBDBDDBG
GBBDFBFBDG EFGBEDCAAG
CDGFEFDEFD DCBDGBEDEB
AGEEGGEBDF GCABGBFBFA
EFAABFFFGC EGECBCEGGE
CEAACCCCAC FFDCBFADFG
CAEBGDDACB CDDCFGECEB
DABGBFAAFC EEGDBGCCEG
CAADAGEDAA EGGCBFCBFC
EECBCGCAGA DEBABDDBGC
GCECAGFCED GGCFCGCCCG
AAEDBDACDD EDEDCDEBEE
BFCEDDDFFG GDGAFBAEDE
DBCGEGGCAC FAACGCFFGD
ACFCECABBG DBFBFFDADB
BFABFEFFEB GFCBGEEDFD
FGDGAFEBCA GBEEDBCEGG
GBFDEAFFAC EGABGEDEAB
EFDBGEBCAA DDBEECBFFC
BDABGAGBBE CDEEBDFBDG
GDECCBEDAD GGGDAFEGAD
FABFDFDCAB BAGFFCEEDC
DAFDEEDDEB DEFGCGEGFF
DFGBBGFAGA FCCBFEFGDC
EFCBEEDGGG ADBBCBCEAF
CGAEADGGGF GDAABCCGBF
FFEBEDDAEF FBABACADGC
EDEFCGGGFA EFGCFEBACB
FAECFBEFFC BAACBBDBCA
ABFDDGCFBA CFGDEBFGAG
FEBGCAAEDF EBDCDDCFFF
BGCCFDAEDF GBFFEEBEEC
DDDGEDCFGC GEGEEACBFA
FCCACAACEG GAFABACFEG
FAAFAAGGCB DAGEGBCCCA
CADECAFGFG EEEACFBGCA
BBACCBCAGB EEBCEBGCGF
DFBBFGGEGC FCECADBGGD
FCECGCBDAC EBBAABCGBC
FDCDDCAAEB DDGCFABCEC
ACBCEGAFAA EDGGDGFAFC
CEAGCDCBFF GAABCEFCFD
BGGFEEDFEG FAFEDFBAFG
GBECFADBGA CGACBAGFEC
GEGGGFCEAE BFBAFABDCD
BCAFCCGGGD EGEEEEDAEG
BBGAFBCCGC DCAEABBFBA
AEDCABFDCF CGFGCEEBAF
ECCGFAGGBF EFCDDAGEFA
BCFAAGFFCB EEFABCACEB
DFGGBDBAAC FECEEAFFEC
BBFFAFABDG GBEEBFDCCC
BCGFCBCGGE DBADEEECDF
BCBBAAAGCB FFGADFEFBC
DDACEDFGCC FBFDEBGEGD
BBEGEEABCG DCBGBDDAAD
EDCEBDFDGG GDGEBCBGGF
DAAACDGDDE FDCACBDCEF
ABDADEDEEC ADCCAEGCFC
FDFGGFGAFG BGCAGDGGCD
EFCBEGFEAC CBFGBBFDDG
ABFDGEEGAA EBBDGFEFAB
BFDGBCCFCC EFGECEEGFD
EEABDGFGAD BCCGDDFDCB
FFGCBDECDC BCGBFBCEAA
GGGFCEGDEF DDADGGGFBC
CBGDCBCGDG CGBGEDGAEB
FEBAABEBEB FFGFABBFCF
CAAEEDDCDC BEEFCADCCA
ACGEEEGBED AGDBAFEEDE
BEBFDCBEFA BCGCDDAEEA
CGADCFFDGE EBEBABACGB
EFFCGFAAFE CEAAABCFDG
CCFDBCGGAE DAFDCCAFAG
CCDFDAADBC CGAAEAABEA
GDDADFBAFE GFBBFAEFAC
BDFGCDGADF BBGEBCDGAA
GBDGDCBBCF GAFFDAAAAG
BAAGABBBDB DGBBAAEFAA
FGACCDCDDF EACAGBEBFD
DFBDFFGFFG DAFEBEFFGA
EEAGDACCAD DEAAGFFBDC
CFECFFDDCE GCDGACDEFF
AGDGEEBCCB CEFGBFACED
GFABCEEDAE FFDFAEEGBA
EGDGEEDCFD GBFCFCADGF
CECCCEEBDF DAACCABCEC
AFEFBAEAGA BCAFCGEEAC
BDEADEFDGF FACACGAFDF
EBCDGDEDCF GFCCACDCEB
CDGFCFFCBA ECDABADAGC
GDCGFEAADG AGCGBFCEAD
GBBFFBDAFF BDGAGECEGD
GBGCFAAFBG GADDAGDFBE
FEGBFDADAE DCAACDFGGE
CGACEFEFFE EGDGEBBAFD
EFEGBDGCAD BFCAFEADED
AAEGBAADCA DDGFEGDFBF
DCGDEBFCED DAFAEEBDBG
ADDECDBBCE CEDGECFAFF
BCECFAFBAD EDDDAFBGGC
EFDDGEEBDA FGGBCACCAB
CDFEFDGCDA BGDCEFGFDE
CFAFFACEEC CACEAAFFEF
AGEFGEEDCC FEFFEDDDBD
BCAGDDBCGB AAFFAAAAFC
EDFCFCCGGB AGBBAGBADC
CBFGACFABD AGCCADFCEB
CCEBFCBEGG AEEGABCBAG
EGEFDGADAE EDDBCDBGFF
CEGCFBABBF EDGGACFADC
CBGGBFGBDF BCBAFBAFFD
FBGBGADDFF FDDDGFCDCB
GGGBDFFDBF GDGAFAFBGG
BGGCBFDFCD FGBFGBAFGE
DBGCCGCCEA BACADGACFD
BBEEDFGADE AECDCFGFCE
AEFFEADFFD GFFGBEBCEC
DECBGGDEGE FEAFGABEBD
EGAAGFFFFD EAGCFBDACD
ABDCECBGEG BGECDCCGGF
BAEGBGGCBA EDEBDBCAAG
CGAGABDGCF GBGEGCEFEB
BAAFDFBEDC CCACAAEFDA
BDEGACFBGB AGCGCABAED
DDDAFDFEEG BEACEFDEBF
EGBFEBEBFD EBCEGFBGBE
CBBGADACFE GFFCAFFGEE
EGDEDGGGDD DDCBGBCEFB
DEFFEGBGCC DDEGADABFA
CBCCAAEFDD CGAEBFFDEF
FGDGDAEDDF FEEDEDEDDA
FFFGACEADA CFAFDCDAAD
FGBDDADDFG AFACCDAABC
DEAFBEFEDE DCFFAGDCCA
BDFDGFFDGC AGEBGDCAGG
ABBAEDEBCD CEAFDBFEDC
