FBDBFADAAD EEEDFAGGBE
EAEADEGGCG EGAEGCEBGA
ABGBABFEFC EGEGBADDDG
GGEAEEGAFE DFBCBDBBDD
CAGBEAEEBC CCFDAGACAE
CAGFECEGAE CBAACCAFDC
DDGEDEACCC FEFDEBEDFF
EDCBCFFGBC ACFEEADEFD
CCACAEACFD BDECDCBBBB
FDEFCADBEF AGBFDCAGDF
CCBDDEEEAD GCADGBBEAC
EEFAFDFDGF DCEEFEEFGC
DECGADFCDB FGBEEAACEA
CFBADEECDA GBGGDGBFBD
DGAFFAFDGE CGEAFDDEGD
CDBAEBBEBA BEGFBBEFAE
GCFGGBEGDD EAAACCBEDB
GDCEEBBDAF FAGFGGCGDC
EGGAFCFFBD GCFFAEBFDD
BAGBBGFADB GCGGBAEGBD
BGGCCGBDCC AFADFAEBBA
ECDFCDBGEC CFGDDBDEBA
DCBGFGECAB FACCADEGGD
EADDCFFBAG FGBDBBDFDB
ECBDACAGFF GEAGBGBFBG
BBDAAFFAFB AEAGFBCCAG
AAEAEBBFGD AFBGBAEGDD
ADBGABFEDA BBBECGFCEC
GFEGBBDAEB EECGCAGBAA
ADGBDAEECE DGEGCGEEBB
GCFEBFFBAD DGDAFACEFB
EDAFDDDFBE CBDACFCDEC
AGEBECGDBD CGBCBEFEEE
EACDEACAEF DBABFBDBFG
GFCBGGFFDG FEBCGBGBGA
FECCEDDDCD FECBCBGDAD
BFGGEGGGDA GFEAGCCGEC
GFEBCBEDDB GEBBEFDEEF
GCBFBAGFDF GGACEECFEF
DEEAABDGDC DADFAFCECG
FFDBDFEFGG GACFDDFEGB
CBBFGDDCGA CBGCDBAAAF
CDCAEEADAC FCCEEDDBEC
FADGEDEFCC AEGCBEGAAE
BBCDAAGECA FGDFCCFADE
DDCECADGCC EDGFBBGEEE
GFEGBBBEBA ECBACCDFFA
BGCFDECEGB ECBDFDFGBA
EGFGBGECAD GEBEAFAGFD
DFBAACEBFD EGDGGGCADE
FEEBEAGABF CAEDEBEDFB
BBGBGEEDCC AGACEECEFC
ADBCBCCFAF GBGFCFDAFA
EDGGADFAGC DFBEFFGBCA
ADAGGBFGGC EGCFBAAFEF
GEDECEBBEC FECDBEAACC
AAGFGECBGG CDGGEFACAF
EEDFBEFCCE EAADFCABFB
FDGGCGDFBE DEAGEBBAAF
FAFAEABBED DFAGBAAACD
EAGGBDEEBD DCADGABFDA
BABEDDBADA DFCGFBAFAB
EAEDFADFAB FGDDBDCGBF
CDBBCCEFBG CCAADBGAEG
GFDDADCBAD AEDBBFFGGD
FAFABEEFFG BADDBFBADG
EFDFAFEEEB FEFGFCDGFF
FDDCGCABCA EDFFAFBABF
AGBDBBFABA EEADCCGDBA
DAEBDDABEA ADCCDBGBBB
BFFEFCFGDG AAABAGGGCF
CGDBFFFDGG FBDGCEGFDG
CAGCGBAAGA EFFFGDCFGA
EFAGGBEEBB EEAAGAFFFG
FEGGGDGGDB CDAAGDEBAF
GFGBBFBAGF DDCBBEACDE
AEBGABCFEA FBCDAEDBBD
FFGCBDAECF DCCBGGCEGD
EEFCAACFED FBEBACBBBE
AEFEGBCGEC BAGEAEBDCD
FGFEAGGFDF DBEGFAGCAF
FADCBBGCAF FBGFAGCCBG
ABFDGAFCDG CFBBECCCEF
FCAEAEBABA BDFFBDGABE
FBCGAADEFG FFBCECBGEC
FAAABCCBAB AFCDFACCGC
GFCCCFDCDB DGDDEDEDAD
DBCFDFADDE GDCGDGFGCC
AADAEGBDAB BCEFAECACA
CAGABDCFEE BFEEAEAFGF
GGGAFCBGGG DGFCEFCDGE
DEDCEBCEAA DFGCGCEACE
AFBCFEFFGA EDGEAGGAAC
CAEDBGFDDE BEEFGEDFCB
AEGAFCGABG EDEGFEGBBB
ECFBDEFBDD ACADBEGGCD
BACCECDDAC DDGCAGGBDA
EDGEGCBDEE EFBFFEFDDB
ECEGDGEGAG BAGAEEGBBF
BGABAFCFFE GBAEGEEEBD
AADAFFCGAD FAGBFCFBFE
CFGDGCDGCB GCCCGGDGAE
ECEGEBGBEB DCFCAEADGC
CGCBECCFDE FDBGGDADBG
CEFEGGDCEE EEDFACCFGG
BECDCEFEEB DBFBCDGFCC
BDFACEDDGA AGCCGAFBEE
BFFADDGGGA DCAGDFDBGB
GGACFDGEDF ADDFBDAGDF
EBFEFEFCGD AFDEBCCBCE
GEDEAECFFG DEBBAGBFEF
GACDDFGFGB ADFBACBEEE
GACFGDCBBA BEDECAECBB
AGDAGDEDDD GGDAFGEDGE
BCCEEGDDEA DAABFDAEBA
DECBBEAGEC AEAFGAACEC
DABEGGCBGA GDGFCAEEBC
EBGEDAGEEC DBDACBFGEE
BFFGFEEFCC FDDFAAFDDA
FFBFBDDGEF FDEDFGCBEA
FECDEAGFEA FFEGGADBAA
AGBGCDCDGG ACDFFFCBEF
FGDFDCBFGD CDEBDFCFBA
CAFECCFAGB ABFEBADGAG
FEBCBACBGG GFBFDCDACF
CEEFFBFAFA CABBCFFCFF
CCAFEDFFCA CDFBCFAAAC
DEBGGBAFDE ACBEDGEABF
CGADBADCEB CDDDEDCFGC
DDDGDCEEAC FCFGGBBCGC
DGDCDEGCGE GCBDGEAAAD
AEDEAECDGA FGFFGBDEDF
CFCAFFEGCC DCBDAEBBEB
FAGGCCADFB DDEAAEFEBD
FFGEGBCCDD DCGFGBCBBC
DGABEECAGC GCDGCCDCCD
CGCGFDABFG ECFCGFGDGD
EDFCAEGBDF DAEGGFBAFE
GCEFGDECCG FBDBGGBACC
FFFBGFBGGC CADDFACEFE
DBCAADAFDA BDDADFFABC
DFGBBCGBAB AFAFABADFE
CDFBCEEGDD GBFCEBBGAB
DGACEDAABG FDCDGEABCG
FGCDACBDCE EFCGEFEEFB
DFAEFCEGGB BBDCCDEFFC
FBCACEEGBD EGFFEBBCGE
BBDCDBEBEB BGEGGDFBED
BAGEDBFDFB DEBEBBFBED
BCFEBAEECG FEFDEEGAGG
GEECGDGBCB ECGFBFBBCD
ADCAFAECGE FDGABCEFCD
CCECAFGGCC CCDGGCDEDF
BFCDCBBECB ADBFDBGCBA
FBCBEBEDAE BFBCBFDAGD
AGEBBCAAFC FBAECEFABF
FBAEBCDADC AFEGAEAEAC
FCBCCGBCCF DFBAABCAGF
EEBCEAADEG ADAFEFDAED
GDEDDBCEBB DEECAGGAGG
CDABCBFFEB DCGFCGCEBG
ABBDGGABCC ABDDAGGDEC
AEACCFGFDG BGAFCFGGBG
CDEGGGFBDE CBBBDBGGBF
DGFBDCADEF CDACCGCBFF
DGCFCFFBBD CFDAAFGDAE
FAACBGBACG CFFCAFEDAD
GCCBEGEDEF CAABCCBFBC
CEFDAACCGF GEGGBDCGFG
DDGBFGAGBB GAGBFGDFCB
GBCGFDGFGD GDEDCBBBEF
ADEGCADAEG GCDFCEGFFB
DGEABDGBAC FGEEFADBAC
EECACDEDFC GCBDFGEGGB
BABBAEFABA FEEAFDFFFF
GDEGDDBAFA AGGAFACDEA
FFAGACDFAE ABCCGGGFBC
BDCBABGBCC BDCGFFDCAA
FFEDAFAAFF AAGDGGAGCF
CGBDGDGEBC GFDEABCCED
FEGBGCECEC FCFDDBDECE
CDGDFGACAA GEDGDGEFDG
EADCGBGEBF AEFEDCGCEB
DFGGEBGBEG GABEFDEDGG
AEEDFBEDED AEDBAEBBAA
ECBAFGCDCG DCEACDCBGC
AGDGDEFEGE AFACEDAGCG
EBEGCABFDC BAGDGEBDDC
ECAAFDGEFE GFGAACCBDB
DDDDFAGFEC BDBCABDEFG
ABDDABFDEC DABFFAFFDE
DCCADBDGDB DEEBFBDDCB
BDBEFDDEFF CBABAACACE
BGDBGDBGBF BDEEADABBB
FCDEGCFGAD EADACAGEFB
GDBCEDGCFG EDABFGGAGA
BFDCGBCCCG BBADBBGEBA
FDBDEDDFBA BFBDDADBFE
BECFEBBAEC BFFCDBGCCB
BCADCCDEFG DCDGEACFCC
EEGCEDBDGC ECGEDADEBF
DDAFFCBAGC ADGADBDADD
DDCBAGDAGD BDABAEBECA
GEAADBCGAE CCGFFACFDB
EAAEDEBFEF BDADEBDBEF
EBCBGCGECD AFDEDDGCCA
EBDAADGGAA ADCFDAAFGB
AEBEFGDDCG CDBBDEFBCA
GBEEDADABC CAAFCEAEBE
AAEAGDADGC EGCFBGBBFF
AGBEFGFBEC BGGAGEGFAD
BBAGGGAEDG FGDFCFEGDF
CDEDGDBDGG DBEBBCBBFB
FECABEDCGB CDGDECGFDF
EFFGCGACED ABGCBBDGCG
CBCGDCBGAG EDEDADDCEB
FDCDCFAEBC BBGBCEGFGC
EADBBDAAFD ADFBGAAEAG
EAAGACACGF GGCCFAFGFA
CECCGBGGFG FBBBGBCBBD
FDEFEACCDD GBFBDCAAAB
DADCBBFFGB CGADDGCAFC
GBGFEGGCDG BDDGDBFCDD
GECFBFEBDC FFFABGBBCC
DGGBFCFDBA FGAEBFEBGB
ACDBBFGDCA CFFDABCDFA
BACDGAGCGB FECDFCDACD
FGCAADCCCF BEEACAEADD
EDECGBGBEE FAFCFGCCBE
ACGFCEBFAG CGBAFEGGAB
BFFDGDEGCA FECCBAAECG
DAEAAGECGC CDFCFACBBD
FCGFBFGCBA FBBECFEDCB
FBDAEBFDCE EFFDAEDDGB
GFBCBFDAGD DBGFAAFCEG
FADBCDCBGG ABCGEDEDEF
EBBBEAGDCC FBGAFBGCDF
GFBGGDBBBG BAGAFGAACA
GADDGGGADA EEBGAAAGAG
EABCFCADEA EABAAAFBAD
EBFAEECCDD DDDBFGEABB
BDECGEFADA ABFADCAADA
FBCBDAEEEG EFFDCCGGAG
AEFFGGAEEF DABGEGDEED
GGAEGBBGGC FGBFGBBCGE
GBECGBGDAB BEGEGBBGDD
GEBADCBAEA DGEEBBBBDC
ADBABDEGCA BEGCBGBAFG
BAGAAFBBGA BDFDAGEEGG
FEDCDFFBGF EGCEADCEGG
CGEEBBEGFC GCEDAFCGCE
FFABDCBFBC FAFGCGFGEB
CAFGBDCBCA FAEFCAGABB
ADDCCGDEAA GFEDACCEAA
GEGGEFEEGF CDAEACECEG
BGDFDDFAAB ABGACDCAEB
EDEDDDDGFG EEEAGAEDFB
FECAAECCAA FCAGEEEGCD
BGDGCDCFBE CEECFEDGEE
GBDFCBACGE EBBBCGAABD
AGBFCGADGD GFDACDFFAA
EDCAGFGAGG DGAADGAGDB
BFGABDGGEG BEDEFCAFFB
CGGFGBEFGC DFBDGFCCAG
DGDCFGCAEF DAECGGDBEC
GEBDDBFDAA BCCEGDFGDC
CEFFAGACBF GFEEEEDGEC
ABBCGFDAAA GGGGFFBCEA
BCCGAEGEDE DAEGCEEGEE
GGFDFGAFAG BGFBABEBCA
GGDFAFAACG CFEFGDBBGC
ECDGBBACEE FGEGFEDFFF
FFBGCCEEAB ADGEECAEDB
DFBCGBFAEC EGBDGDDCGC
EDCBCDGFGG FBAGABBFBB
GABECBEFFC BDGGEBCGFC
FCAFBCBCAA FAAEEGAFEA
FFGFFGAEAE GGEEEDAADD
GFFDEBDEGE DGEAAGBCEE
FDACGAEGEG BDCBCGCBCD
FGFAACCABC AGDFAFBFAG
BBAAAFFBCC FADCFGCGBD
FDFEAAFECA DAAGAGAGDF
CFEAADEAGB FDEACCBCDF
GCCFABEFGE FEEEBBDGCE
BFBDGDDFDD FCEBBAFDFA
CCEFBDFCCD AGGADEGCGD
FCGCEGBGEG EFDBGBEFGD
CBCCCFECDB FEEADFGDDA
CDBGECCGEE AFGDBDFCCD
FGAACAAEFD GFGFFDAFGE
CFABDEBABF FDCBBEEBBA
EAFCBEEECE BEBDAGEAAG
BDGFECGAEC GGFGGFCBDE
FBDBBBDGCF BDFFEEEFAG
EEDGDFCABC DBFDDDCAAF
FDFGEACEAC BBDDACDDEC
BBDGECCFAF EBFEFAGECF
