FFCDBEGBBC FDFDBDBDCG
FAFCGDDCFD ADBDEBFGBA
DEFBCGGDFD BBBFDAFABC
ADAGGAGEBE CGDDFDEAAC
ACAEDEAGGD CEFABDCCBF
FECCCDFFBE GACAGDBFEF
ACDFBGADDA FEFDDGCBAC
CGFAAAAEFG AGABFEAECC
ECGACEBDDB DBGGEDBECA
ACAGCEGCAD CGCADDBCDE
FABGCAFEFD EAEDCBCAFA
CAGEFFCFAC DBCCEDADCA
GFCAAFFBAB GBEGDACFAC
GACGDCGFDG ECBGEGGEFG
AGDEBAACBD EDGBFDEEBF
CEFGBEAGBD BDDEBBBECC
BCGFBEFCEE EBGGGFCEAG
CBFGCCFECB FFEDFGCGEE
EFCEFCDEGE GFDGFGADEB
FGBFGBCCDA EGBAAAFEFA
ACAAFCGEAG EGCEEFBAEA
DEBDABFEAF FDFAGCBEEC
BFCDFCCDCB ADEDCECFDC
FBGBEFFBDB ECEDAGDDEF
DEGCFFGFFB CFBCEGDAAA
DFDBCFAECD GCCGCDECEA
DBEBDBDFAG GGGEBCBFDC
DGAFDBEGBG DDDBBAFGED
GFFCGCGBDB AECCDAECGD
FGGBAFCEDE CDBFFFFEAA
DBFCGGBBCD DFGGBAGGEG
BBECBEADEF GACEEEGFFC
DEAEFACEFE GACAECGAEF
DADEABGGCG BDFBEFBCEE
DDAGAFEFEG GEFGBECCBB
FDEGEFEGGD EAEDBBDCFA
ABCFBBFBCE FEEBEGGBDD
DBBAFBDGEB ADCCGDBCAG
GDAGBDAFFD BBCAAACDFC
FDEABBAECB AGBEFEAFEC
DBFGABGBEA BFFBCGEBBA
GBGEEECEBB DDEFEEGFCG
ECCFAGFACF DCADBECBGD
AFCDDFACFB GEDEGCFBCG
FCAEBABFDF GGGFDFBEED
GCBEDABAEG CCBFFACAGE
EAGEAGCGBG GFCBBBCBDB
ADDFFCBFGF EABGBECEGA
CDFFFDCBCD CDGEFAAADA
CBDBGFBEAB DFFFCGEABC
BCDBGFDFGD CCBBBFBBDC
CDBEFDADGF DFGEACBFGD
DAFADADACA FEGAGAABED
EEEBGEBADB DEFBEBEDFG
GDEBAEEFBF FEDCAFGAAG
AEEECEDEGB EEAAEFFCDB
DFBDAGFDAE GAEGADABCC
DEAFGFBDBG GACDEACCGE
GCCEBCDAFE GCDCEDCGDC
EBABCDAECA EBAGBEGFCF
FCEBEGGDDG DEFEGCDGBG
GGGFCAABDG BCCGCBBGBD
GBEFEBGDBD GDAECEADFB
FEABDEBFCA EEECDBBBEB
GGEEBFBCDF BBGEFEADCF
CFECGBECFC BCEGCEAGEC
CGDCFBBDDE GDDECGAEBE
CBEEBCEFCD DEDEECEADD
CFCDFEGECF AAFFEFCFFG
FDABBEEFCF DAFBCCGCDF
GFABCCBFGF BEBBAGDCEC
BFCBBEGABB BBGCBEGDEA
ACFAEFDCBC BCFBCGBCCF
GADABAECBB CBACGBGFAC
GCGFCDEDGF BFBFABFCCG
BEFFDAECGD GEDCEFBDAB
FFGGEGDBFF EGEGFDDFAA
BAFBADGEEC ABEADCCEEB
AEAEEGEFEF GGFBBAAAGE
GCBCGGBBBD AFGCFDDGAA
GBGBECCGFE CDABEDAAGF
GBFFDEGFEB GGEBEEAEBB
DEGFCFGAGC BEEDADGCAC
GAAGBCEGFG DEBABGAAGF
CAEBBDBEFG FADEDCCECB
FDGAGBGGDD DADDDGAGBF
FAEFCFDGDF GECCEEGABG
GBACFECGBB AECDBFGGDB
ECCAGEDACE DDCGCEGEAE
EECDCDBBBD BEFEFBDFBE
FAEBDACFGC ECABBAAGAD
ACEAGFBDAF FDCFBDCFBC
ACAFBCAGGB DFBEECBCDD
AFDDCADFBB BBCEDBFAEC
ADCDCAAFCE FEBGGCAAGA
DDECGCCGGE FEGDDGFCBE
FDBFADFFFC BEBDBCDDDB
CEFBAEGCGF GADFFDDADF
FCAAECBDCF ECCGGFCEFB
FBBGDDFBCC DADDDGDDAA
BDBGBDCGCF DAADAAGFCF
DBDCCFAGBF DBBCAAAEFC
FCGDFDDGFC DFEDCGBADE
BGAADEDEGF EBDBFGBCAB
GBGCFECEBC DAGGCACFGB
CDFBEFCBGE BGBGACGGBB
AEFBFCGAFB DGCBEDAEFF
GFBDBDGFFF AACDBCEDCG
CCBDBAFBDF FGAEFBCCCB
BFAFDDAFAF GFEGAEAGCE
BCCCDCDCEF CDECBCBEGG
BFCBBAEBDA CADBACCCBB
BGGGFFBEDE EFDEFDGGBA
EDADBDEAFC GAAGBCABGB
CDDCBDFGDB FFFBAFGACD
GCCDBCECFD FEAFDEBABG
FCEABEDGEE AFCADAFBGB
EFCDABDCCB EFDCCEFGCB
ADDAFBAGDE AAAAFBFCFD
FGDBBBGGFA DGEBEFBCEB
DDGFABAAEB EEAGAEDDGG
CDFDCBAAEC EBCEDDFCGD
AGAFBABBBC FCDEFBBCGA
EABADADGDC GDBGEBDFFA
CBDFEAAEGE CEFGDAFCFB
GFDBCBEAFF FECFCCEDBF
EGDAAFDEDC DGCDFGDECG
BGDCCCBABF AAGABDFABF
CCCAAEEFBG CDFGEACEGD
CEFCBEAFBF GDCCEBAFFF
DFAEFBDEBE BABFFCEFAA
DAAGCDDBBF DBDGCACEEB
CECDCFFFBC FFFDBACCDG
CADGDEECCF ECDDGFGBED
FFFCBABGGF GCFGDGCFAD
AACBDDEDGB BGFCDACCFA
FDGBAABFFD BEADCGDECE
BDFDFFABGG EEGDFGCGGB
FDAFADAGDE BDCEACDCDG
GGFFDBCBBB DAGGGDBGCG
DCEBBDAEEA AFEFABGGEC
BGFCCGABGF FDGGDFGGDC
EGCBFCDGCC DGCCAEBEAD
GAAAEEAFFB DEBGEBCCGE
EGFDEFCDBD ABBGEGEEBE
FBECDDCABE DECBEDFEFF
ACEDECDAFE GCCDCEFABG
ABGEFEFCDF EDCCGDAADA
GCAFCGEGAF CCFGCDFCCG
EAAADCACFA FEFDCBAEAG
BCEFGBACCA GGDADDGBBG
BAEDDBFEAE FBDCCBAEDG
GDAACADDDC ACDCCDDDFG
CGFGCDBAGD FEBCCBFCFD
FBGCCGDEBG EDACCEAEEA
ABAFFFDADC ACAGFGDGDG
EFFCAFGBGB GCAEDAEEGA
GBBACADCAD EFDEGECGAA
DDDEAEEEFC EBGBCGECGC
GADCGEEBCB EACGDCDDAD
FFDAEEDFAF ACBGCFDABC
FECFAAFCDA FFAADAGBCD
FBBDBCADDB DGFFFAFDAA
DGFBADEEAC BFEABGGCAG
CAFGDCCGFD GGDGBEDBCG
GECECCDDDA DCBAFECDFG
EFBDFDGDEG DGBEDDEABC
BEFEEEGBFC GCABDEFAAF
EDDAGAFEED EGDFABBDCD
CGFBACGDDA FFBFDBFEFD
FFBDGDBGEF FCDCDBEGCG
CBDDCEFABE FEEDACAEBF
AGGADDFDEF FEEEBDEBFG
FCGAABGGFF BADCBBBBEB
BFBEDBCBGG BBABCAAFGF
DCFDBGBACC EADFFGAAGE
DDGDEADBFE FDDFBBFDFD
GBGACFFDDG BCCCAFEFBC
GBEBFCEFFE DCBGAEFAAA
ADACACADEE DDDBBGFBEE
BBBEGEDFGE CFDCCGFEBG
CBCCCFCBBF GEDCCCBGEC
AFADGGEAEF ACCDBGCFBD
BBFCAEBGEC BEFAGEDAEE
FCEBGEFCFG AFBADGEABD
GGEDEGCFAG DFFECEFEEC
AGBFEBCGGD GBEEAGGAAD
GAEEBADFBA BGEFGGFCAB
DFACGDBEFE EEECGEEBDA
CCGDEBACGG FFBFFFGADC
CEGCFBGAEG FCACBFAFFF
GADCGECECG ACDEFBFDBB
AEFFAACDBB ABGEBEAFDG
GCEBFBFCCC FBECCFGADE
CEFEABACDB DDBDCGEEGB
GGDFBFBGGG ABFGAAGBAC
EDBCEFACEF ECECGFEGAE
AEADCCBFBB CACGDEBEDF
DEGEBAABGD FADAEFGDAD
GGFCCDDFBA AFFCEEADCB
EDEFAFBBCC AAFFCEFCCC
GBBBGFGAFA DBAGBFBADD
CCECFEGDGG CBABDEDFCE
CEDGBFFEED ADGAFBEADF
BFCACFAFBG ACECFFCCCF
ECFEDGDBBF BBBCFBCCDD
GEFCCEBGAC FDCGFACACE
CBDCDBGAAD AFAEGBFCGD
ECCFBADCDB FBGEAFDEGE
BEBFBFBGAB ABECEGBEBD
EFEDAEEGEF CECFCGEGDE
AFFGEDEFDD AAEEFBEDAD
GEGADBCGFC CCACFFEGDD
BEDEBAFAAA AEGFECGDEG
FGGECFBBDE ACCDDAECGF
FEGDFACAED DCEDBFCAAD
FFAADDBCAD EFBDDBEFED
CDDAACCEBA AFDGDGEFEG
GFDBEGDEGA BEGEGFGABD
AFAGGCCFAA AAEDGECCGF
DDDAABFDDA EBGCDFCGDC
GFCCADEBAE BCBEFCDAFE
CDAFEBDEEB FACECFGDCG
CDEFDFGEFB CFFEEGCAGD
DCGFFDEDEG FEEGBAGGBC
CCCDBBCGDB BFECAAGFAF
FGCBGECACD CGEGAGBCEA
CBCGAEFFBA DDECFDGBFB
EDFDDGGABE BCDGBAFECD
EAFEDFBECE FCBCACBDCB
FECCCGAEAA GBADBDBBAF
GAGDEDCEGB BEFCDGBFCD
BFDEBEAECD DFDEACFFGA
ABAGFBEADC EAGGBGBEFB
DGDFEDFBCB CEEBGAGCED
ABEECGEEBF GACCFGCBFC
EBBAECFBFB GCFGEAEEBF
CCAFAGECCG BAGBCDGEEE
CADBEDCGBF BAFCCEBECA
AGCCAAGFGB ACGACFDGFD
DDFEBGCBDB AEAEFDCBCA
GAGFDAGBGF GDBCDEDDED
BCECBDCAGA GEAGECEEGE
GDCEACAGGB DECBGFDEBA
BCBABGBGFE DCBFCCFFDC
AAAAABDEGE CEDDBDECFF
BBDGFDAEBB FCGADFCDDB
BABDFADGAG CGFDBDGCFA
ADGBEBEDGD AEAAFEEADF
GECAFFEDFC DDDFBFADCF
GGBEFBGAFC BEFAEGCBBD
EGFEEADCAB BGBDFGEBDF
CGEDAGEFGC GDDACEFCCE
DDGCBFDDCD DFCGCCFCDC
BCAACECEGG EGABFDCECG
CCBECBCCGB FAECFDDCCC
DBDGABGGBB CAGDDEBDCA
BGEAGDABEG GBBGBFDDBB
ECEBCGBECD GGAEDDFECF
EFFGBEGCBE ABDBACFGFG
DGBGGBDBBG GFGBECEBAG
CCBAEEDDBB DBCAEFBCFE
ADAGDGCGFE BCGEBCBDDE
FBFBAEABGB BBEDFFAFAF
FAEAFBFCDE CDFGCFABFA
BGCCABEAGF GGBFBAAGAA
FFCEGFEGBG BBADBBCDFF
BGCGDDCBFD GABDGDCFBC
ABGCBBFBDC DBCGGDCFCF
DBDEDACADC DCEAACGGBB
GBDBBCECAA BCBADEDBFF
GBDCDDFEGD DEBFGCBGEC
ECBCEAAGDB FGAABABBAG
DBEBDAEEGA EEDDEAGAGC
BEDACABFEF FACECEDCAF
GDGECACDAG ACFGCACAGF
BEBABEACBE AEDGGEBABC
DBEECFEDAC FADBBAFDCG
ACBAAAABFG GDGFBFCDCF
FABFCAFGAG BFGBEFCFGE
BGGFAEBDGD DADEFADABB
ECBAABFADF GEEFDBEGCE
BDGGGCEDGE GDACGCFCFE
FGEABFDDDG ACGGEDFEFA
DCEFDADAAG GDEBEABBFC
BEFCGEEDEE GDAAGGBECA
DECDCBFCGE DEFADEFDDD
GCAECEABGC GCECAEGFGB
GGDDGFBCCG FFAFBBDEFA
ADDGGDEDDA AAAADDAAFE
DBGCFBACFC ADCADFACBB
GGAEDDFEDF DGEBGCBAAC
EEBEAADCEB EGDAEEDAGG
GADBDBFFCC BECFGAEFCB
GFFBFBGEDB FFGAGACCFG
ACGFAEADBB DEFGADBFCG
